gameId,creationTime,gameDuration,seasonId,winner,team1Wins,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_champ_ids,t2_champ_ids,t1_champ_names,t2_champ_names,t1_champ_tags,t2_champ_tags,t1_summoner_spells_ids,t2_summoner_spells_ids,t1_summoner_spells_names,t2_summoner_spells_names,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills,t1_bans,t2_bans,t1_ban_names,t2_ban_names,t1_objectives,t2_objectives
3331182005,1504632906821,1334,9,2,False,2,2,2,2,2,2,"[22, 516, 122, 497, 236]","[114, 412, 110, 33, 238]","['Ashe', 'Ornn', 'Darius', 'Rakan', 'Lucian']","['Fiora', 'Thresh', 'Varus', 'Rammus', 'Zed']","[['Marksman', 'Support'], ['Tank', 'Fighter'], ['Fighter', 'Tank'], ['Support'], ['Marksman']]","[['Fighter', 'Assassin'], ['Support', 'Fighter'], ['Marksman', 'Mage'], ['Tank', 'Fighter'], ['Assassin', 'Fighter']]","[[4, 7], [4, 11], [12, 4], [14, 4], [4, 3]]","[[12, 4], [14, 4], [4, 7], [4, 11], [4, 14]]","[['Flash', 'Heal'], ['Flash', 'Smite'], ['Teleport', 'Flash'], ['Ignite', 'Flash'], ['Flash', 'Exhaust']]","[['Teleport', 'Flash'], ['Ignite', 'Flash'], ['Flash', 'Heal'], ['Flash', 'Smite'], ['Flash', 'Ignite']]",0,0,0,0,0,10,2,1,1,1,"[117, 119, 154, 55, 40]","[40, 141, 31, 38, 113]","['Lulu', 'Draven', 'Zac', 'Katarina', 'Janna']","['Janna', 'Kayn', ""Cho'Gath"", 'Kassadin', 'Sejuani']","[0, 0, 0, 0, 0]","[10, 2, 1, 1, 1]"
3319955649,1503842604559,210,9,2,False,2,0,0,0,0,0,"[28, 16, 58, 238, 236]","[17, 18, 103, 14, 79]","['Evelynn', 'Soraka', 'Renekton', 'Zed', 'Lucian']","['Teemo', 'Tristana', 'Ahri', 'Sion', 'Gragas']","[['Assassin', 'Mage'], ['Support', 'Mage'], ['Fighter', 'Tank'], ['Assassin', 'Fighter'], ['Marksman']]","[['Marksman', 'Assassin'], ['Marksman', 'Assassin'], ['Mage', 'Assassin'], ['Tank', 'Fighter'], ['Fighter', 'Mage']]","[[3, 4], [3, 4], [4, 12], [4, 14], [4, 7]]","[[4, 14], [7, 4], [4, 14], [3, 4], [4, 11]]","[['Exhaust', 'Flash'], ['Exhaust', 'Flash'], ['Flash', 'Teleport'], ['Flash', 'Ignite'], ['Flash', 'Heal']]","[['Flash', 'Ignite'], ['Heal', 'Flash'], ['Flash', 'Ignite'], ['Exhaust', 'Flash'], ['Flash', 'Smite']]",0,0,0,0,0,0,0,0,0,0,"[516, 157, 53, 141, 154]","[201, 31, 157, 41, 6]","['Ornn', 'Yasuo', 'Blitzcrank', 'Kayn', 'Zac']","['Braum', ""Cho'Gath"", 'Yasuo', 'Gangplank', 'Urgot']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3319712138,1503820604748,1456,9,1,True,1,1,1,1,1,1,"[412, 238, 81, 17, 59]","[121, 61, 114, 29, 53]","['Thresh', 'Zed', 'Ezreal', 'Teemo', 'Jarvan IV']","[""Kha'Zix"", 'Orianna', 'Fiora', 'Twitch', 'Blitzcrank']","[['Support', 'Fighter'], ['Assassin', 'Fighter'], ['Marksman', 'Mage'], ['Marksman', 'Assassin'], ['Tank', 'Fighter']]","[['Assassin', 'Fighter'], ['Mage', 'Support'], ['Fighter', 'Assassin'], ['Marksman', 'Assassin'], ['Tank', 'Fighter']]","[[3, 4], [14, 4], [4, 7], [4, 14], [4, 11]]","[[11, 4], [21, 4], [12, 4], [4, 7], [3, 4]]","[['Exhaust', 'Flash'], ['Ignite', 'Flash'], ['Flash', 'Heal'], ['Flash', 'Ignite'], ['Flash', 'Smite']]","[['Smite', 'Flash'], ['Barrier', 'Flash'], ['Teleport', 'Flash'], ['Flash', 'Heal'], ['Exhaust', 'Flash']]",11,2,1,2,1,0,0,0,0,0,"[64, 31, 40, 18, 113]","[497, 40, 119, 19, 117]","['Lee Sin', ""Cho'Gath"", 'Janna', 'Tristana', 'Sejuani']","['Rakan', 'Janna', 'Draven', 'Warwick', 'Lulu']","[11, 2, 1, 2, 1]","[0, 0, 0, 0, 0]"
3279558818,1501099621277,1407,9,2,False,2,2,0,0,2,0,"[238, 498, 2, 79, 6]","[420, 43, 51, 61, 141]","['Zed', 'Xayah', 'Olaf', 'Gragas', 'Urgot']","['Illaoi', 'Karma', 'Caitlyn', 'Orianna', 'Kayn']","[['Assassin', 'Fighter'], ['Marksman'], ['Fighter', 'Tank'], ['Fighter', 'Mage'], ['Fighter', 'Marksman']]","[['Fighter', 'Tank'], ['Mage', 'Support'], ['Marksman'], ['Mage', 'Support'], ['Fighter', 'Assassin']]","[[4, 14], [4, 7], [12, 4], [11, 4], [4, 3]]","[[4, 12], [4, 3], [4, 7], [4, 21], [4, 11]]","[['Flash', 'Ignite'], ['Flash', 'Heal'], ['Teleport', 'Flash'], ['Smite', 'Flash'], ['Flash', 'Exhaust']]","[['Flash', 'Teleport'], ['Flash', 'Exhaust'], ['Flash', 'Heal'], ['Flash', 'Barrier'], ['Flash', 'Smite']]",0,0,0,0,0,5,0,0,1,0,"[106, 31, 17, 90, 119]","[69, 25, 53, 122, 157]","['Volibear', ""Cho'Gath"", 'Teemo', 'Malzahar', 'Draven']","['Cassiopeia', 'Morgana', 'Blitzcrank', 'Darius', 'Yasuo']","[0, 0, 0, 0, 0]","[5, 0, 0, 1, 0]"
3245699468,1498850151453,199,9,1,True,1,0,0,0,0,0,"[121, 122, 53, 81, 61]","[238, 16, 79, 96, 83]","[""Kha'Zix"", 'Darius', 'Blitzcrank', 'Ezreal', 'Orianna']","['Zed', 'Soraka', 'Gragas', ""Kog'Maw"", 'Yorick']","[['Assassin', 'Fighter'], ['Fighter', 'Tank'], ['Tank', 'Fighter'], ['Marksman', 'Mage'], ['Mage', 'Support']]","[['Assassin', 'Fighter'], ['Support', 'Mage'], ['Fighter', 'Mage'], ['Marksman', 'Mage'], ['Fighter', 'Tank']]","[[4, 11], [4, 12], [4, 3], [7, 4], [3, 4]]","[[7, 4], [3, 4], [4, 11], [6, 4], [14, 4]]","[['Flash', 'Smite'], ['Flash', 'Teleport'], ['Flash', 'Exhaust'], ['Heal', 'Flash'], ['Exhaust', 'Flash']]","[['Heal', 'Flash'], ['Exhaust', 'Flash'], ['Flash', 'Smite'], ['Ghost', 'Flash'], ['Ignite', 'Flash']]",0,0,0,0,0,0,0,0,0,0,"[92, 119, 154, 90, 60]","[51, 105, 497, 117, 157]","['Riven', 'Draven', 'Zac', 'Malzahar', 'Elise']","['Caitlyn', 'Fizz', 'Rakan', 'Lulu', 'Yasuo']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3319648826,1503814935017,1441,9,2,False,1,1,2,2,2,0,"[16, 238, 31, 18, 202]","[40, 39, 21, 42, 33]","['Soraka', 'Zed', ""Cho'Gath"", 'Tristana', 'Jhin']","['Janna', 'Irelia', 'Miss Fortune', 'Corki', 'Rammus']","[['Support', 'Mage'], ['Assassin', 'Fighter'], ['Tank', 'Mage'], ['Marksman', 'Assassin'], ['Marksman', 'Assassin']]","[['Support', 'Mage'], ['Fighter', 'Assassin'], ['Marksman'], ['Marksman'], ['Tank', 'Fighter']]","[[3, 4], [14, 4], [11, 4], [7, 4], [12, 4]]","[[3, 4], [4, 12], [7, 4], [4, 3], [11, 4]]","[['Exhaust', 'Flash'], ['Ignite', 'Flash'], ['Smite', 'Flash'], ['Heal', 'Flash'], ['Teleport', 'Flash']]","[['Exhaust', 'Flash'], ['Flash', 'Teleport'], ['Heal', 'Flash'], ['Flash', 'Exhaust'], ['Smite', 'Flash']]",6,0,0,0,0,6,1,1,2,0,"[157, 11, 117, 29, 53]","[38, 57, 11, 117, 113]","['Yasuo', 'Master Yi', 'Lulu', 'Twitch', 'Blitzcrank']","['Kassadin', 'Maokai', 'Master Yi', 'Lulu', 'Sejuani']","[6, 0, 0, 0, 0]","[6, 1, 1, 2, 0]"
3324932737,1504199994519,1220,9,2,False,2,2,2,0,2,0,"[99, 17, 238, 89, 119]","[21, 141, 143, 245, 516]","['Lux', 'Teemo', 'Zed', 'Leona', 'Draven']","['Miss Fortune', 'Kayn', 'Zyra', 'Ekko', 'Ornn']","[['Mage', 'Support'], ['Marksman', 'Assassin'], ['Assassin', 'Fighter'], ['Tank', 'Support'], ['Marksman']]","[['Marksman'], ['Fighter', 'Assassin'], ['Mage', 'Support'], ['Assassin', 'Fighter'], ['Tank', 'Fighter']]","[[4, 3], [4, 12], [14, 4], [4, 11], [7, 4]]","[[7, 4], [4, 11], [3, 4], [4, 14], [4, 12]]","[['Flash', 'Exhaust'], ['Flash', 'Teleport'], ['Ignite', 'Flash'], ['Flash', 'Smite'], ['Heal', 'Flash']]","[['Heal', 'Flash'], ['Flash', 'Smite'], ['Exhaust', 'Flash'], ['Flash', 'Ignite'], ['Flash', 'Teleport']]",0,0,0,0,0,10,2,0,2,0,"[11, 122, 34, 53, 154]","[51, 39, 1, 412, 121]","['Master Yi', 'Darius', 'Anivia', 'Blitzcrank', 'Zac']","['Caitlyn', 'Irelia', 'Annie', 'Thresh', ""Kha'Zix""]","[0, 0, 0, 0, 0]","[10, 2, 0, 2, 0]"
3249822408,1499099237750,1284,9,1,True,2,1,1,0,2,1,"[119, 77, 69, 40, 240]","[17, 21, 25, 238, 19]","['Draven', 'Udyr', 'Cassiopeia', 'Janna', 'Kled']","['Teemo', 'Miss Fortune', 'Morgana', 'Zed', 'Warwick']","[['Marksman'], ['Fighter', 'Tank'], ['Mage'], ['Support', 'Mage'], ['Fighter', 'Tank']]","[['Marksman', 'Assassin'], ['Marksman'], ['Mage', 'Support'], ['Assassin', 'Fighter'], ['Fighter', 'Tank']]","[[4, 7], [4, 11], [3, 4], [4, 3], [12, 4]]","[[4, 12], [7, 4], [4, 3], [4, 14], [4, 11]]","[['Flash', 'Heal'], ['Flash', 'Smite'], ['Exhaust', 'Flash'], ['Flash', 'Exhaust'], ['Teleport', 'Flash']]","[['Flash', 'Teleport'], ['Heal', 'Flash'], ['Flash', 'Exhaust'], ['Flash', 'Ignite'], ['Flash', 'Smite']]",11,3,0,1,1,0,0,0,1,0,"[157, 64, 11, 134, 51]","[157, 23, 114, 154, 122]","['Yasuo', 'Lee Sin', 'Master Yi', 'Syndra', 'Caitlyn']","['Yasuo', 'Tryndamere', 'Fiora', 'Zac', 'Darius']","[11, 3, 0, 1, 1]","[0, 0, 0, 1, 0]"
3304749089,1502815144466,200,9,1,True,1,0,0,0,0,0,"[64, 40, 67, 157, 238]","[27, 33, 81, 163, 267]","['Lee Sin', 'Janna', 'Vayne', 'Yasuo', 'Zed']","['Singed', 'Rammus', 'Ezreal', 'Taliyah', 'Nami']","[['Fighter', 'Assassin'], ['Support', 'Mage'], ['Marksman', 'Assassin'], ['Fighter', 'Assassin'], ['Assassin', 'Fighter']]","[['Tank', 'Fighter'], ['Tank', 'Fighter'], ['Marksman', 'Mage'], ['Mage', 'Support'], ['Support', 'Mage']]","[[11, 4], [4, 3], [7, 4], [4, 12], [4, 14]]","[[6, 12], [4, 11], [4, 7], [4, 3], [4, 3]]","[['Smite', 'Flash'], ['Flash', 'Exhaust'], ['Heal', 'Flash'], ['Flash', 'Teleport'], ['Flash', 'Ignite']]","[['Ghost', 'Teleport'], ['Flash', 'Smite'], ['Flash', 'Heal'], ['Flash', 'Exhaust'], ['Flash', 'Exhaust']]",0,0,0,0,0,0,0,0,0,0,"[32, 5, 86, 119, 75]","[31, 90, 114, 38, 11]","['Amumu', 'Xin Zhao', 'Garen', 'Draven', 'Nasus']","[""Cho'Gath"", 'Malzahar', 'Fiora', 'Kassadin', 'Master Yi']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3327548634,1504372317088,1178,9,2,False,2,2,2,0,2,0,"[92, 141, 201, 157, 119]","[238, 64, 41, 18, 16]","['Riven', 'Kayn', 'Braum', 'Yasuo', 'Draven']","['Zed', 'Lee Sin', 'Gangplank', 'Tristana', 'Soraka']","[['Fighter', 'Assassin'], ['Fighter', 'Assassin'], ['Support', 'Tank'], ['Fighter', 'Assassin'], ['Marksman']]","[['Assassin', 'Fighter'], ['Fighter', 'Assassin'], ['Fighter'], ['Marksman', 'Assassin'], ['Support', 'Mage']]","[[12, 4], [4, 11], [4, 3], [4, 3], [4, 7]]","[[14, 4], [11, 4], [4, 14], [7, 4], [4, 3]]","[['Teleport', 'Flash'], ['Flash', 'Smite'], ['Flash', 'Exhaust'], ['Flash', 'Exhaust'], ['Flash', 'Heal']]","[['Ignite', 'Flash'], ['Smite', 'Flash'], ['Flash', 'Ignite'], ['Heal', 'Flash'], ['Flash', 'Exhaust']]",0,0,0,0,0,11,1,0,1,0,"[122, 75, 67, 103, 498]","[122, 23, 245, 154, 31]","['Darius', 'Nasus', 'Vayne', 'Ahri', 'Xayah']","['Darius', 'Tryndamere', 'Ekko', 'Zac', ""Cho'Gath""]","[0, 0, 0, 0, 0]","[11, 1, 0, 1, 0]"
